name,price
LEARN SCRATCH PROGRAMING,LEARN CLOUD COMPUTING BASICS-AWS
LEARN MOBILE DEVELOPMENT,LEARN CORE JAVA PROGRAMMING ONLINE
LEARN ROBOTICS,LEARN JAVASCRIPT
LEARN NODE JS,LEARN CLOUD COMPUTING ADVANCE-AWS
PYTHON PROGRAMMING-BEGINNER,Roblox Programming For Beginners
PYTHON PROGRAMMING-INTERMEDIATE,PYTHON PROGRAMMING-ADVANCE
PYTHON PROGRAMMING GROUP CLASSES - BEGINNER,Advanced Roblox Scripting Workshop
Robotics Adventure Awaits:Join Our Summer Camp for Young Tech Wizards!,Java Project-Based Course
Artificial Intelligence Adventures: Building AI Chatbot Like Chatgpt (For Kids),Python Playground: Create a Hangman Game
Scratch Playground: Create a Maze Game!,Artificial Intelligence Essentials: Summer Bootcamp
"Time Mastery Camp: AI for Jobs, Business, Careers",Build Your Own Theme Park in Roblox
Java Coding Summer Camp for Young Minds,AI Camp for Entrepreneurs: Build Business Success
ChatGPT Boot Camp: Basics & Best Uses,Create-A-Bot: A Project-Based Robotics Exploration
Java & Proramming,Chatbot Creators: Design a ChatGPT-like AI
Web Development from scratch,Summer Camp: Introduction to Python
AI Secrets Revealed: Master Productivity Hacks That Will Blow Your Mind! (For Kids),"Summer Bootcamp with JavaScript: Real Projects, Real Results"
AI Disruption: Top Entrepreneurs Harnessing AI for Unprecedented Success! (For Kids),The AI Writer's Masterclass: Innovation and Inspiration in Creative Writing! (For Kids)
Web Development Pro: Intermediate Level,Scratch Playground: Create a Scroller Game!
AI Pro: Creative Writing Camp for Adults,Python Playground: Create Your Own Snake Game
Build your own Calculator using Python Bootcamp for kids,Python Playground: Create a Tic Tac Toe Game
Scratch Playground: Create a Flappy Bird Game!,"HTML, CSS, JavaScript: 7-Day Summer Bootcamp"
Hands-on Java: Project-based Learning for Coding Novices,Python Playground: Create a Memory Game
Summer Bootcamp: 5-Day Scratch Programming for Beginners,5-Day Summer Camp: Python for Beginners
Build a Text analyzer using Python Bootcamp for kids,Scratch Playground : Create a Platformer Game!
Introduction to Artificial Intelligence!,"Python Playground: Create a Rock, Paper, Scissors Game"
AI in Stock Market Success: Career Growth Camp !!,From Beginner to AI Pro: Kickstart Your Journey With Artificial Intelligence! (For Kids)
Game development using python,Build a Image manipulator using Python Bootcamp for kids
Build a Weather app using Python Bootcamp for kids,Build Your Own Roblox Battle Arena
The Millionaire's AI Playbook: Learn How to Predict Stock Prices! (For Kids),Machine Learning: 7-Day Project-Based Summer Camp
AI Pro Camp: Career Growth Catalyst,Minecraft Java Programming for Beginners
Build a Chatbot using Python Bootcamp for kids,Build a Password generator using Python Bootcamp for kids
Scratch Playground: Create a Space Game!,Create Your Own Roblox Obstacle Course
Java Minecraft Creative or Survival Mode,AI Camp for Jobs & Business:Build Your own ChatGPT
