name,price,,,,,,,
LEARN SCRATCH PROGRAMING,20,,,,,,,
LEARN CLOUD COMPUTING BASICS-AWS,30,,,,,,,
LEARN MOBILE DEVELOPMENT,20,,,,,,,
LEARN CORE JAVA PROGRAMMING ONLINE,20,,,,,,,
LEARN ROBOTICS,20,,,,,,,
LEARN JAVASCRIPT,20,,,,,,,
LEARN NODE JS,20,,,,,,,
LEARN CLOUD COMPUTING ADVANCE-AWS,35,,,,,,,
PYTHON PROGRAMMING-BEGINNER,20,,,,,,,
Roblox Programming For Beginners,30,,,,,,,
PYTHON PROGRAMMING-INTERMEDIATE,20,,,,,,,
PYTHON PROGRAMMING-ADVANCE,25,,,,,,,
PYTHON PROGRAMMING GROUP CLASSES - BEGINNER,20,,,,,,,
Advanced Roblox Scripting Workshop,30,,,,,,,
Robotics Adventure Awaits:Join Our Summer Camp for Young Tech Wizards!,20,,,,,,,
Java Project-Based Course,20,,,,,,,
Artificial Intelligence Adventures: Building AI Chatbot Like Chatgpt (For Kids),22,,,,,,,
Python Playground: Create a Hangman Game,20,,,,,,,
Scratch Playground: Create a Maze Game!,20,,,,,,,
Artificial Intelligence Essentials: Summer Bootcamp,13,,,,,,,
"Time Mastery Camp: AI for Jobs, Business, Careers",25,,,,,,,
Build Your Own Theme Park in Roblox,20,,,,,,,
Java Coding Summer Camp for Young Minds,12,,,,,,,
AI Camp for Entrepreneurs: Build Business Success,25,,,,,,,
ChatGPT Boot Camp: Basics & Best Uses,12,,,,,,,
Create-A-Bot: A Project-Based Robotics Exploration,13,,,,,,,
Java & Proramming,20,,,,,,,
Chatbot Creators: Design a ChatGPT-like AI,13,,,,,,,
Web Development from scratch,30,,,,,,,
Summer Camp: Introduction to Python,11,,,,,,,
AI Secrets Revealed: Master Productivity Hacks That Will Blow Your Mind! (For Kids),22,,,,,,,
"Summer Bootcamp with JavaScript: Real Projects, Real Results",12,,,,,,,
AI Disruption: Top Entrepreneurs Harnessing AI for Unprecedented Success! (For Kids),22,,,,,,,
The AI Writer's Masterclass: Innovation and Inspiration in Creative Writing! (For Kids),22,,,,,,,
Web Development Pro: Intermediate Level,30,,,,,,,
Scratch Playground: Create a Scroller Game!,20,,,,,,,
AI Pro: Creative Writing Camp for Adults,25,,,,,,,
Python Playground: Create Your Own Snake Game,20,,,,,,,
Build your own Calculator using Python Bootcamp for kids,20,,,,,,,
Python Playground: Create a Tic Tac Toe Game,20,,,,,,,
Scratch Playground: Create a Flappy Bird Game!,20,,,,,,,
"HTML, CSS, JavaScript: 7-Day Summer Bootcamp",12,,,,,,,
Hands-on Java: Project-based Learning for Coding Novices,11,,,,,,,
Python Playground: Create a Memory Game,20,,,,,,,
Summer Bootcamp: 5-Day Scratch Programming for Beginners,12,,,,,,,
5-Day Summer Camp: Python for Beginners,12,,,,,,,
Build a Text analyzer using Python Bootcamp for kids,20,,,,,,,
Scratch Playground : Create a Platformer Game!,20,,,,,,,
Introduction to Artificial Intelligence!,30,,,,,,,
"Python Playground: Create a Rock, Paper, Scissors Game",20,,,,,,,
AI in Stock Market Success: Career Growth Camp !!,25,,,,,,,
From Beginner to AI Pro: Kickstart Your Journey With Artificial Intelligence! (For Kids),22,,,,,,,
Game development using python,30,,,,,,,
Build a Image manipulator using Python Bootcamp for kids,20,,,,,,,
Build a Weather app using Python Bootcamp for kids,20,,,,,,,
Build Your Own Roblox Battle Arena,20,,,,,,,
The Millionaire's AI Playbook: Learn How to Predict Stock Prices! (For Kids),22,,,,,,,
Machine Learning: 7-Day Project-Based Summer Camp,11,,,,,,,
AI Pro Camp: Career Growth Catalyst,25,,,,,,,
Minecraft Java Programming for Beginners,20,,,,,,,
Build a Chatbot using Python Bootcamp for kids,20,,,,,,,
Build a Password generator using Python Bootcamp for kids,20,,,,,,,
Scratch Playground: Create a Space Game!,20,,,,,,,
Create Your Own Roblox Obstacle Course,20,,,,,,,
Java Minecraft Creative or Survival Mode,20,,,,,,,
AI Camp for Jobs & Business:Build Your own ChatGPT,25,,,,,,,
"HTML, CSS, JavaScript Essentials: 5-Day Coding Bootcamp",13,,,,,,,
